Index	Value
0	2713
1	2714
2	0
3	2715
4	2708
5	2709
6	2742
7	2716
8	2745
9	2743
10	2711
11	2722
12	2744
13	2723
14	1
15	2725
16	2710
17	2701
18	2746
19	2704
20	2747
21	2703
22	2615
23	2699
24	2739
25	2730
26	2692
27	2719
28	2729
29	2751
30	2748
31	2736
32	2616
33	2618
34	2700
35	122
36	5
37	2750
38	2753
39	2678
40	2496
41	2498
42	2752
43	2617
44	2738
45	2611
46	2627
47	2608
48	7
49	2619
50	125
51	123
52	2483
53	2482
54	17
55	2614
56	129
57	126
58	124
59	366
60	2497
61	2679
62	2691
63	131
64	136
65	2605
66	2749
67	2575
68	2612
69	2578
70	2603
71	2500
72	2624
73	2626
74	367
75	2601
76	2629
77	2577
78	2630
79	2495
80	2494
81	2622
82	368
83	2502
84	2647
85	128
86	2488
87	2602
88	2485
89	137
90	134
91	135
92	2687
93	2755
94	2633
95	2503
96	142
97	2505
98	141
99	147
100	149
101	2628
102	144
103	2579
104	2635
105	2631
106	145
107	2652
108	2638
109	2640
110	140
111	2492
112	2650
113	2468
114	2659
115	2491
116	2648
117	2664
118	2643
119	2672
120	2656
121	2506
122	2675
123	2770
124	2772
125	146
126	2636
127	151
128	2572
129	2510
130	2507
131	2568
132	150
133	155
134	2632
135	2490
136	2571
137	2509
138	2762
139	156
140	157
141	2518
142	2657
143	2658
144	2515
145	2512
146	2569
147	2563
148	2596
149	2469
150	2639
151	2465
152	2570
153	2673
154	2558
155	2796
156	154
157	2519
158	2462
159	2584
160	2771
161	2448
162	2787
163	2798
164	2592
165	2777
166	2789
167	2764
168	2523
169	2458
170	2590
171	2799
172	2805
173	2804
174	166
175	158
176	2522
177	2450
178	2784
179	2454
180	153
181	165
182	2457
183	2562
184	161
185	365
186	163
187	2791
188	2451
189	2803
190	2593
191	2514
192	2521
193	2565
194	2589
195	171
196	175
197	2824
198	2793
199	2794
200	199
201	168
229	2561
203	2806
204	2819
205	2785
206	2586
207	2818
255	2820
209	209
210	190
211	194
212	2455
213	2815
214	2814
215	2808
216	2520
217	169
218	362
219	2446
220	2442
221	2816
222	170
223	2567
224	178
225	2525
226	198
227	2447
228	2535
230	2526
231	2528
232	2529
233	211
234	174
235	2822
236	183
237	2812
238	180
239	2825
240	2433
241	2823
242	2811
243	2809
244	2810
245	217
246	2894
247	2892
248	185
249	2905
250	228
251	2534
252	2418
253	2908
254	2417
257	218
258	2829
259	2423
260	2831
261	2236
262	2834
263	2817
264	2911
